TA2ID;English
648;Groove for occipital artery
649;Mastoid foramen
650;Apex of petrous part
651;Carotid canal
652;External opening of carotid canal
653;Internal opening of carotid canal
654;Caroticotympanic canaliculi
655;Musculotubal canal
656;Semicanal for tensor tympani
657;Semicanal for auditory tube
658;Septum of musculotubal canal
659;Anterior surface of petrous part
660;Tegmen tympani
661;Arcuate eminence
662;Hiatus for greater petrosal nerve
663;Groove for greater petrosal nerve
664;Hiatus for lesser petrosal nerve
665;Groove for lesser petrosal nerve
666;Trigeminal impression
667;Petrous ridge
668;Groove for superior petrosal sinus
669;Posterior surface of petrous part
670;Internal acoustic opening
671;Internal acoustic meatus
672;Subarcuate fossa
673;Vestibular canaliculus
674;Opening of vestibular canal
675;Posterior border of petrous part
676;Jugular notch of temporal bone
677;Inferior surface of petrous part
678;Jugular fossa
679;Cochlear canaliculus
680;Opening of cochlear canaliculus
681;Mastoid canaliculus
682;Intrajugular process of temporal bone
683;Styloid process of temporal bone
684;Stylomastoid foramen
685;Inferior tympanic canaliculus
686;Petrosal fossula
687;Bony tympanic cavity
688;Facial canal
689;Geniculum of facial canal
690;Posterior tympanic canaliculus
691;Anterior tympanic canaliculus
692;Bony labyrinth
693;Tympanic part of temporal bone
694;Tympanic ring
695;Bony external acoustic opening
696;Bony external acoustic meatus
697;Greater tympanic spine
698;Lesser tympanic spine
699;Tympanic sulcus
700;Tympanic notch
701;Sheath of styloid process
702;Squamous part of temporal bone
703;Parietal border of temporal bone
704;Parietal notch
705;Sphenoidal margin of temporal bone
706;Temporal surface of temporal bone
707;Groove for middle temporal artery
708;Zygomatic process of temporal bone
709;Supramastoid crest
710;Suprameatal fovea
711;(Suprameatal spine)
712;Mandibular fossa
713;Articular surface of mandibular fossa
714;Articular tubercle
715;Articular eminence
716;Cerebral surface of squamous part of temporal bone
717;Petrotympanic fissure
718;Petrosquamous fissure
719;Tympanosquamous fissure
720;Tympanomastoid fissure
721;Ethmoid bone
722;Cribriform plate
723;Cribriform foramina
724;Crista galli
725;Ala of crista galli
726;Perpendicular plate of ethmoid bone
727;Ethmoidal labyrinth
728;Cells of ethmoid bone
729;Anterior cells of ethmoid bone
730;Middle cells of ethmoid bone
731;Posterior cells of ethmoid bone
732;Orbital plate of ethmoidal labyrinth
733;(Bony supreme nasal concha)
734;Bony superior nasal concha
735;Bony middle nasal concha
736;Bony ethmoidal bulla
737;Uncinate process of ethmoid bone
738;Bony ethmoidal infundibulum
739;Bony semilunar hiatus
740;Inferior nasal concha bone
741;Lacrimal process
742;Maxillary process of inferior nasal concha
743;Ethmoidal process
744;Lacrimal bone
745;Posterior lacrimal crest
746;Lacrimal groove of lacrimal bone
747;Lacrimal hamulus
748;Nasal bone
749;Ethmoidal groove
750;Nasal foramen
751;Vomer
752;Ala of vomer
753;Vomerine groove
754;Vomerine crest of choana
755;Cuneiform part of vomer
756;Maxilla
757;Body of maxilla
758;Orbital surface of maxilla
759;Infra-orbital canal
760;Infra-orbital groove
761;Maxillary part of orbital margin
762;Anterior surface of maxilla
763;Infra-orbital foramen
764;Canine fossa
765;Nasal notch
